crt_loc_cd,crt_loc_desc,vld_flg
102D,BEAVER DISTRICT,Y
320J,HERRIMAN JUSTICE,Y
211D,BRIGHAM CITY DISTRICT,Y
321J,BLUFFDALE OR HERRIMAN JUSTICE,Y
318D,LOGAN DISTRICT,Y
427D,PRICE DISTRICT,Y
506D,MANILA DISTRICT,Y
2560J,SARATOGA SPRINGS JUSTICE,Y
609D,FARMINGTON DISTRICT,Y
1412J,EAST MILLARD JUSTICE,Y
709D,DUCHESNE DISTRICT,Y
718D,ROOSEVELT DISTRICT,Y
801D,CASTLE DALE DISTRICT,Y
909D,PANGUITCH DISTRICT,Y
1011D,MOAB DISTRICT,Y
1103D,CEDAR CITY DISTRICT,Y
1117D,PAROWAN DISTRICT,Y
2607J,HEBER JUSTICE,Y
1216D,NEPHI DISTRICT,Y
1306D,KANAB DISTRICT,Y
1411D,FILLMORE DISTRICT,Y
1508D,MORGAN DISTRICT,Y
1604D,JUNCTION DISTRICT,Y
1705D,RANDOLPH DISTRICT,Y
1869D,SALT LAKE DISTRICT-CIRCUIT BLD,N
8015O,AP&P,Y
1911D,MONTICELLO DISTRICT,Y
2015D,MANTI DISTRICT,Y
2122D,RICHFIELD DISTRICT,Y
2343D,TOOELE DISTRICT,Y
2416D,VERNAL DISTRICT,Y
2551J,UTAH COUNTY JUSTICE,Y
2550D,PROVO DISTRICT,Y
2553C,SALEM DISTRICT - DIV 2,N
2606D,HEBER DISTRICT,Y
2714D,ST. GEORGE DISTRICT,Y
2807D,LOA DISTRICT,Y
2921D,OGDEN DISTRICT,Y
2928J,ROY JUSTICE COURT,Y
1810A,UTAH SUPREME,Y
1811A,UTAH COURT OF APPEALS,Y
211V,BRIGHAM CITY JUVENILE,Y
318V,LOGAN JUVENILE,Y
609V,FARMINGTON JUVENILE,Y
2921V,OGDEN JUVENILE,Y
2550V,PROVO JUVENILE,Y
1868V,SALT LAKE JUVENILE,Y
2343V,TOOELE JUVENILE,Y
1411V,FILLMORE JUVENILE,Y
1103V,CEDAR CITY JUVENILE,Y
2714V,ST. GEORGE JUVENILE,Y
1306V,KANAB JUVENILE,Y
2015V,MANTI JUVENILE,Y
2122V,RICHFIELD JUVENILE,Y
427V,PRICE JUVENILE,Y
1011V,MOAB JUVENILE,Y
2416V,VERNAL JUVENILE,Y
225J,GARLAND JUSTICE,Y
235J,MANTUA JUSTICE,Y
813J,CASTLE DALE JUSTICE,Y
1801J,ALTA JUSTICE,Y
2102J,AURORA JUSTICE,Y
102J,BEAVER JUSTICE,Y
1310J,BIG WATER JUSTICE,Y
1902J,BLANDING JUSTICE,Y
1103J,CEDAR CITY JUSTICE,Y
605J,CENTERVILLE JUSTICE,Y
305J,CLARKSTON JUSTICE,Y
804J,CLEVELAND JUSTICE,Y
607J,CLINTON JUSTICE,Y
2204J,COALVILLE JUSTICE,Y
1409J,DELTA JUSTICE,Y
709J,DUCHESNE JUSTICE EAST,Y
502J,DUTCH JOHN JUSTICE,Y
2703J,ENTERPRISE JUSTICE,Y
2005J,EPHRAIM JUSTICE,Y
905J,ESCALANTE JUSTICE,Y
1204J,EUREKA JUSTICE,Y
2006J,FAIRVIEW JUSTICE,Y
609J,DAVIS COUNTY JUSTICE,Y
2919J,FARR WEST JUSTICE,Y
1411J,FILLMORE JUSTICE,Y
2008J,FOUNTAIN GREEN JUSTICE,Y
